practice_input,target_hsn8,target_hsn4,target_hsn6,target_description,difficulty,source
fish or chilled fishfillets and fish,03027000,0302,030270,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304LIVERS AND ROES",medium,training_mode
fish fres or chille excludin fishfillet,03027000,0302,030270,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304LIVERS AND ROES",hard,training_mode
tilapias oreochromis spp,03027100,0302,030271,"TILAPIAS (OREOCHROMIS SPP.),",easy,training_mode
tilapias spp,03027100,0302,030271,"TILAPIAS (OREOCHROMIS SPP.),",medium,training_mode
tilapia oreochromi spp,03027100,0302,030271,"TILAPIAS (OREOCHROMIS SPP.),",hard,training_mode
catfish pangasius spp silurus spp clarias,03027200,0302,030272,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",easy,training_mode
catfish spp silurus clarias spp spp,03027200,0302,030272,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",medium,training_mode
catfis pangasiu spp siluru spp claria,03027200,0302,030272,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",hard,training_mode
carp cyprinus spp carassius spp cteno,03027300,0302,030273,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENO-PHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP.,CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLACATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBAR- BUS HOEVENI, MEGALOBRAMA SPP.):",easy,training_mode
carp spp carassius cteno pharyngodon hypophthalmichthys,03027300,0302,030273,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENO-PHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP.,CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLACATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBAR- BUS HOEVENI, MEGALOBRAMA SPP.):",medium,training_mode
carp cyprinu spp carassiu spp cten,03027300,0302,030273,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENO-PHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP.,CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLACATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBAR- BUS HOEVENI, MEGALOBRAMA SPP.):",hard,training_mode
eels anguilla spp,03027400,0302,030274,EELS (ANGUILLA SPP.),easy,training_mode
eels spp,03027400,0302,030274,EELS (ANGUILLA SPP.),medium,training_mode
eels anguill spp,03027400,0302,030274,EELS (ANGUILLA SPP.),hard,training_mode
other,03027900,0302,030279,OTHER,easy,training_mode
othe,03027900,0302,030279,OTHER,hard,training_mode
dogfish and other sharks,03028100,0302,030281,DOGFISH AND OTHER SHARKS,easy,training_mode
dogfish other sharks,03028100,0302,030281,DOGFISH AND OTHER SHARKS,medium,training_mode
dogfis and othe shark,03028100,0302,030281,DOGFISH AND OTHER SHARKS,hard,training_mode
rays and skates rajidae,03028200,0302,030282,RAYS AND SKATES (RAJIDAE),easy,training_mode
rays skates rajidae,03028200,0302,030282,RAYS AND SKATES (RAJIDAE),medium,training_mode
rays and skate rajida,03028200,0302,030282,RAYS AND SKATES (RAJIDAE),hard,training_mode
tooth fish dissostichus spp,03028300,0302,030283,TOOTH FISH (DISSOSTICHUS SPP.),easy,training_mode
tooth dissostichus spp,03028300,0302,030283,TOOTH FISH (DISSOSTICHUS SPP.),medium,training_mode
toot fish dissostichu spp,03028300,0302,030283,TOOTH FISH (DISSOSTICHUS SPP.),hard,training_mode
seabass dicentrarchus spp,03028400,0302,030284,SEABASS (DICENTRARCHUS SPP.),easy,training_mode
seabass spp,03028400,0302,030284,SEABASS (DICENTRARCHUS SPP.),medium,training_mode
seabas dicentrarchu spp,03028400,0302,030284,SEABASS (DICENTRARCHUS SPP.),hard,training_mode
seabream sparidae,03028500,0302,030285,SEABREAM (SPARIDAE),easy,training_mode
seabrea sparida,03028500,0302,030285,SEABREAM (SPARIDAE),hard,training_mode
hilsa tenualosa ilisha,03028910,0302,030289,HILSA ( TENUALOSA ILISHA),easy,training_mode
hilsa ilisha,03028910,0302,030289,HILSA ( TENUALOSA ILISHA),medium,training_mode
hils tenualos ilish,03028910,0302,030289,HILSA ( TENUALOSA ILISHA),hard,training_mode
dara,03028920,0302,030289,DARA,easy,training_mode
pomfret,03028930,0302,030289,POMFRET,easy,training_mode
pomfre,03028930,0302,030289,POMFRET,hard,training_mode
other,03028990,0302,030289,OTHER,easy,training_mode
othe,03028990,0302,030289,OTHER,hard,training_mode
livers and roes,03029000,0302,030290,LIVERS AND ROES,easy,training_mode
livers roes,03029000,0302,030290,LIVERS AND ROES,medium,training_mode
liver and roes,03029000,0302,030290,LIVERS AND ROES,hard,training_mode
livers roes and milt,03029100,0302,030291,"LIVERS, ROES AND MILT",easy,training_mode
livers and milt,03029100,0302,030291,"LIVERS, ROES AND MILT",medium,training_mode
liver roes and milt,03029100,0302,030291,"LIVERS, ROES AND MILT",hard,training_mode
livers roes and milt,03029110,0302,030291,"livers, roes and milt",easy,training_mode
livers and milt,03029110,0302,030291,"livers, roes and milt",medium,training_mode
liver roes and milt,03029110,0302,030291,"livers, roes and milt",hard,training_mode
shark fins,03029200,0302,030292,SHARK FINS,easy,training_mode
shar fins,03029200,0302,030292,SHARK FINS,hard,training_mode
shark fins,03029210,0302,030292,Shark fins,easy,training_mode
shar fins,03029210,0302,030292,Shark fins,hard,training_mode
fish fins other than shark fins,03029910,0302,030299,"Fish fins other than shark fins; heads, tails and maws",easy,training_mode
fish other than fins heads and,03029910,0302,030299,"Fish fins other than shark fins; heads, tails and maws",medium,training_mode
fish fins othe than shar fins,03029910,0302,030299,"Fish fins other than shark fins; heads, tails and maws",hard,training_mode
other edible fish offal,03029990,0302,030299,Other edible fish offal,easy,training_mode
other fish offal,03029990,0302,030299,Other edible fish offal,medium,training_mode
othe edibl fish offa,03029990,0302,030299,Other edible fish offal,hard,training_mode
sockeye salmon red salmon oncorhynchus nerka,03031100,0303,030311,SOCKEYE SALMON (RED SALMON) (ONCORHYNCHUS NERKA),easy,training_mode
sockeye red salmon nerka,03031100,0303,030311,SOCKEYE SALMON (RED SALMON) (ONCORHYNCHUS NERKA),medium,training_mode
sockey salmo red salmo oncorhynchu nerk,03031100,0303,030311,SOCKEYE SALMON (RED SALMON) (ONCORHYNCHUS NERKA),hard,training_mode
other pacific salmon oncorhynchus gorbuscha oncorhynchus,03031200,0303,030312,"OTHER PACIFIC SALMON (ONCORHYNCHUS GORBUSCHA,ONCORHYNCHUS KETA, ONCORHYNCHUS TSCHAWYTSCHA,ONCORHYNCHUS KISUTCH,ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",easy,training_mode
other salmon oncorhynchus oncorhynchus keta tschawytscha,03031200,0303,030312,"OTHER PACIFIC SALMON (ONCORHYNCHUS GORBUSCHA,ONCORHYNCHUS KETA, ONCORHYNCHUS TSCHAWYTSCHA,ONCORHYNCHUS KISUTCH,ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",medium,training_mode
othe pacifi salmo oncorhynchu gorbusch oncorhynchu,03031200,0303,030312,"OTHER PACIFIC SALMON (ONCORHYNCHUS GORBUSCHA,ONCORHYNCHUS KETA, ONCORHYNCHUS TSCHAWYTSCHA,ONCORHYNCHUS KISUTCH,ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",hard,training_mode
atlantic salmon salmo salar and danube,03031300,0303,030313,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON(HUCHO HUCHO),easy,training_mode
atlantic salmo salar danube salmon hucho,03031300,0303,030313,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON(HUCHO HUCHO),medium,training_mode
atlanti salmo salm sala and danub,03031300,0303,030313,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON(HUCHO HUCHO),hard,training_mode
trout salmo trutta oncorhynchus mykiss oncor,03031400,0303,030314,"TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCOR-HYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE AND ONCORHYNCHUS CHRYSOGASTER)",easy,training_mode
trout trutta oncorhynchus oncor hynchus oncorhynchus,03031400,0303,030314,"TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCOR-HYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE AND ONCORHYNCHUS CHRYSOGASTER)",medium,training_mode
trou salm trutt oncorhynchu mykis onco,03031400,0303,030314,"TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCOR-HYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE AND ONCORHYNCHUS CHRYSOGASTER)",hard,training_mode
other,03031900,0303,030319,OTHER,easy,training_mode
othe,03031900,0303,030319,OTHER,hard,training_mode
fish frozen excluding fish fillets andother,03032100,0303,030321,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI,ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE ANDONCORHYNCHUS CHRYSOGASTER)",easy,training_mode
fish excluding fish andother fish of,03032100,0303,030321,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI,ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE ANDONCORHYNCHUS CHRYSOGASTER)",medium,training_mode
fish froze excludin fish fillet andothe,03032100,0303,030321,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI,ONCORHYNCHUS AGUABONITA,ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE ANDONCORHYNCHUS CHRYSOGASTER)",hard,training_mode
fish frozen excluding fish fillets andother,03032200,0303,030322,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO)",easy,training_mode
fish excluding fish andother fish of,03032200,0303,030322,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO)",medium,training_mode
fish froze excludin fish fillet andothe,03032200,0303,030322,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER SALMONIDAE, EXCLUDING LIVERS AND ROES     ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO)",hard,training_mode
tilapias oreochromis spp,03032300,0303,030323,TILAPIAS (OREOCHROMIS SPP.),easy,training_mode
tilapias spp,03032300,0303,030323,TILAPIAS (OREOCHROMIS SPP.),medium,training_mode
tilapia oreochromi spp,03032300,0303,030323,TILAPIAS (OREOCHROMIS SPP.),hard,training_mode
catfish pangasius spp silurus spp clarias,03032400,0303,030324,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",easy,training_mode
catfish spp silurus clarias spp spp,03032400,0303,030324,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",medium,training_mode
catfis pangasiu spp siluru spp claria,03032400,0303,030324,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",hard,training_mode
carp cyprinus spp carassius spp ctenopharyngodon,03032500,0303,030325,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS,CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI,LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)",easy,training_mode
carp spp carassius ctenopharyngodon idellus spp,03032500,0303,030325,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS,CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI,LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)",medium,training_mode
carp cyprinu spp carassiu spp ctenopharyngodo,03032500,0303,030325,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS,CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI,LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)",hard,training_mode
eels anguilla spp,03032600,0303,030326,EELS (ANGUILLA SPP.),easy,training_mode
eels spp,03032600,0303,030326,EELS (ANGUILLA SPP.),medium,training_mode
eels anguill spp,03032600,0303,030326,EELS (ANGUILLA SPP.),hard,training_mode
other,03032900,0303,030329,OTHER,easy,training_mode
othe,03032900,0303,030329,OTHER,hard,training_mode
halibut rheinhardtius hippoglossoides hippog lossus hippoglossus,03033100,0303,030331,"HALIBUT (RHEINHARDTIUS HIPPOGLOSSOIDES, HIPPOG-LOSSUS HIPPOGLOSSUS,HIPPOGLOSSUS STENOLEPIS)",easy,training_mode
halibut hippoglossoides hippog hippoglossus hippoglossus,03033100,0303,030331,"HALIBUT (RHEINHARDTIUS HIPPOGLOSSOIDES, HIPPOG-LOSSUS HIPPOGLOSSUS,HIPPOGLOSSUS STENOLEPIS)",medium,training_mode
halibu rheinhardtiu hippoglossoide hippo lossu hippoglossu,03033100,0303,030331,"HALIBUT (RHEINHARDTIUS HIPPOGLOSSOIDES, HIPPOG-LOSSUS HIPPOGLOSSUS,HIPPOGLOSSUS STENOLEPIS)",hard,training_mode
plaice pleuronectes platessa,03033200,0303,030332,PLAICE (PLEURONECTES PLATESSA),easy,training_mode
plaice platessa,03033200,0303,030332,PLAICE (PLEURONECTES PLATESSA),medium,training_mode
plaic pleuronecte platess,03033200,0303,030332,PLAICE (PLEURONECTES PLATESSA),hard,training_mode
sole solea spp,03033300,0303,030333,SOLE (SOLEA SPP.),easy,training_mode
sole spp,03033300,0303,030333,SOLE (SOLEA SPP.),medium,training_mode
sole sole spp,03033300,0303,030333,SOLE (SOLEA SPP.),hard,training_mode
turbots psetta maxima,03033400,0303,030334,Turbots (Psetta maxima),easy,training_mode
turbots maxima,03033400,0303,030334,Turbots (Psetta maxima),medium,training_mode
turbot psett maxim,03033400,0303,030334,Turbots (Psetta maxima),hard,training_mode
other,03033900,0303,030339,OTHER,easy,training_mode
othe,03033900,0303,030339,OTHER,hard,training_mode
albacore or long finned tunas thunnus,03034100,0303,030341,ALBACORE OR LONG FINNED TUNAS (THUNNUS ALALUNGA),easy,training_mode
albacore long finned thunnus alalunga,03034100,0303,030341,ALBACORE OR LONG FINNED TUNAS (THUNNUS ALALUNGA),medium,training_mode
albacor or long finne tuna thunnu,03034100,0303,030341,ALBACORE OR LONG FINNED TUNAS (THUNNUS ALALUNGA),hard,training_mode
yellowfin tunas thunnus albacares,03034200,0303,030342,YELLOWFIN TUNAS (THUNNUS ALBACARES),easy,training_mode
yellowfin thunnus albacares,03034200,0303,030342,YELLOWFIN TUNAS (THUNNUS ALBACARES),medium,training_mode
yellowfi tuna thunnu albacare,03034200,0303,030342,YELLOWFIN TUNAS (THUNNUS ALBACARES),hard,training_mode
skipjack tuna stripe bellied bonito katsuwonuspelamis,03034300,0303,030343,SKIPJACK TUNA (STRIPE-BELLIED BONITO (KATSUWONUSPELAMIS),easy,training_mode
skipjack stripe bellied katsuwonuspelamis,03034300,0303,030343,SKIPJACK TUNA (STRIPE-BELLIED BONITO (KATSUWONUSPELAMIS),medium,training_mode
skipjac tuna strip bellie bonit katsuwonuspelami,03034300,0303,030343,SKIPJACK TUNA (STRIPE-BELLIED BONITO (KATSUWONUSPELAMIS),hard,training_mode
bigeye tunas thunnus obesus,03034400,0303,030344,BIGEYE TUNAS (THUNNUS OBESUS),easy,training_mode
bigeye thunnus obesus,03034400,0303,030344,BIGEYE TUNAS (THUNNUS OBESUS),medium,training_mode
bigey tuna thunnu obesu,03034400,0303,030344,BIGEYE TUNAS (THUNNUS OBESUS),hard,training_mode
atlantic and pacific bluefin tunas thunnus,03034500,0303,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",easy,training_mode
atlantic pacific bluefin thunnus thynnus orientalis,03034500,0303,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",medium,training_mode
atlanti and pacifi bluefi tuna thunnu,03034500,0303,030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",hard,training_mode
southern bluefin tunas thunnus maccoyii,03034600,0303,030346,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),easy,training_mode
southern tunas thunnus,03034600,0303,030346,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),medium,training_mode
souther bluefi tuna thunnu maccoyi,03034600,0303,030346,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),hard,training_mode
other,03034900,0303,030349,OTHER,easy,training_mode
othe,03034900,0303,030349,OTHER,hard,training_mode
fish frozen excluding fish fillets andother,03035000,0303,030350,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), EXCLUDING LIVERS AND ROES",easy,training_mode
fish excluding fish andother fish of,03035000,0303,030350,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), EXCLUDING LIVERS AND ROES",medium,training_mode
fish froze excludin fish fillet andothe,03035000,0303,030350,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), EXCLUDING LIVERS AND ROES",hard,training_mode
herrings clupea harengus clupea pallasii,03035100,0303,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)",easy,training_mode
herrings harengus clupea,03035100,0303,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)",medium,training_mode
herring clupe harengu clupe pallasi,03035100,0303,030351,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)",hard,training_mode
fish frozen excluding fish fillets andother,03035200,0303,030352,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 -HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII) AND COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) EXCLUDING LIVERS AND ROES: -- COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",easy,training_mode
fish excluding fish andother fish of,03035200,0303,030352,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 -HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII) AND COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) EXCLUDING LIVERS AND ROES: -- COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",medium,training_mode
fish froze excludin fish fillet andothe,03035200,0303,030352,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 -HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII) AND COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) EXCLUDING LIVERS AND ROES: -- COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",hard,training_mode
sardines sardina pilchardus sardinops spp sardinella,03035300,0303,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS)",easy,training_mode
sardines pilchardus sardinops sardinella sardinella brisling,03035300,0303,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS)",medium,training_mode
sardine sardin pilchardu sardinop spp sardinell,03035300,0303,030353,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS)",hard,training_mode
mackerel scomber scombrus scomber australasicus scomber,03035400,0303,030354,"MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)",easy,training_mode
mackerel scombrus scomber scomber japonicus,03035400,0303,030354,"MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)",medium,training_mode
mackere scombe scombru scombe australasicu scombe,03035400,0303,030354,"MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)",hard,training_mode
jack and horse mackerel trachurus spp,03035500,0303,030355,JACK AND HORSE MACKEREL (TRACHURUS SPP.),easy,training_mode
jack horse mackerel spp,03035500,0303,030355,JACK AND HORSE MACKEREL (TRACHURUS SPP.),medium,training_mode
jack and hors mackere trachuru spp,03035500,0303,030355,JACK AND HORSE MACKEREL (TRACHURUS SPP.),hard,training_mode
cobia rachycentron canadum,03035600,0303,030356,COBIA (RACHYCENTRON CANADUM),easy,training_mode
cobia canadum,03035600,0303,030356,COBIA (RACHYCENTRON CANADUM),medium,training_mode
cobi rachycentro canadu,03035600,0303,030356,COBIA (RACHYCENTRON CANADUM),hard,training_mode
swordfish xiphias gladius,03035700,0303,030357,SWORDFISH (XIPHIAS GLADIUS),easy,training_mode
swordfish gladius,03035700,0303,030357,SWORDFISH (XIPHIAS GLADIUS),medium,training_mode
swordfis xiphia gladiu,03035700,0303,030357,SWORDFISH (XIPHIAS GLADIUS),hard,training_mode
indian mackerels rastrelliger spp,03035910,0303,030359,INDIAN MACKERELS (RASTRELLIGER SPP.),easy,training_mode
indian rastrelliger spp,03035910,0303,030359,INDIAN MACKERELS (RASTRELLIGER SPP.),medium,training_mode
india mackerel rastrellige spp,03035910,0303,030359,INDIAN MACKERELS (RASTRELLIGER SPP.),hard,training_mode
other,03035990,0303,030359,other,easy,training_mode
othe,03035990,0303,030359,other,hard,training_mode
fish frozen excluding fish fillets andother,03036000,0303,030360,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), EXCLUDING LIVERS AND ROES",easy,training_mode
fish excluding fish andother fish of,03036000,0303,030360,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), EXCLUDING LIVERS AND ROES",medium,training_mode
fish froze excludin fish fillet andothe,03036000,0303,030360,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), EXCLUDING LIVERS AND ROES",hard,training_mode
fish frozen excluding fish fillets andother,03036100,0303,030361,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 - SWORDFISH(XIPHIA GLADIUS) AND TOOTHFISH (DISSOSTICHUS SPP.) EXCLUDING LIVERS AND ROES: -- SWORDFISH(XIPHIA GLADIUS)",easy,training_mode
fish excluding fish andother fish of,03036100,0303,030361,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 - SWORDFISH(XIPHIA GLADIUS) AND TOOTHFISH (DISSOSTICHUS SPP.) EXCLUDING LIVERS AND ROES: -- SWORDFISH(XIPHIA GLADIUS)",medium,training_mode
fish froze excludin fish fillet andothe,03036100,0303,030361,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 - SWORDFISH(XIPHIA GLADIUS) AND TOOTHFISH (DISSOSTICHUS SPP.) EXCLUDING LIVERS AND ROES: -- SWORDFISH(XIPHIA GLADIUS)",hard,training_mode
fish frozen excluding fish fillets andother,03036200,0303,030362,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 - SWORDFISH(XIPHIA GLADIUS) AND TOOTHFISH (DISSOSTICHUS SPP.) EXCLUDING LIVERS AND ROES: -- TOOTHFISH (DISSOSTICHUS SPP.)",easy,training_mode
fish excluding fish andother fish of,03036200,0303,030362,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 - SWORDFISH(XIPHIA GLADIUS) AND TOOTHFISH (DISSOSTICHUS SPP.) EXCLUDING LIVERS AND ROES: -- TOOTHFISH (DISSOSTICHUS SPP.)",medium,training_mode
fish froze excludin fish fillet andothe,03036200,0303,030362,"FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 - SWORDFISH(XIPHIA GLADIUS) AND TOOTHFISH (DISSOSTICHUS SPP.) EXCLUDING LIVERS AND ROES: -- TOOTHFISH (DISSOSTICHUS SPP.)",hard,training_mode
cod gadus morhua gadus ogac gadus,03036300,0303,030363,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",easy,training_mode
cod morhua gadus gadus macrocephalus,03036300,0303,030363,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",medium,training_mode
cod gadu morhu gadu ogac gadu,03036300,0303,030363,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",hard,training_mode
haddock melanogrammus aeglefinus,03036400,0303,030364,HADDOCK (MELANOGRAMMUS AEGLEFINUS),easy,training_mode
haddock aeglefinus,03036400,0303,030364,HADDOCK (MELANOGRAMMUS AEGLEFINUS),medium,training_mode
haddoc melanogrammu aeglefinu,03036400,0303,030364,HADDOCK (MELANOGRAMMUS AEGLEFINUS),hard,training_mode
coal fish pollachius virens,03036500,0303,030365,COAL FISH (POLLACHIUS VIRENS),easy,training_mode
coal pollachius virens,03036500,0303,030365,COAL FISH (POLLACHIUS VIRENS),medium,training_mode
coal fish pollachiu viren,03036500,0303,030365,COAL FISH (POLLACHIUS VIRENS),hard,training_mode
hake merluccius spp urophycis spp,03036600,0303,030366,"HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)",easy,training_mode
hake spp urophycis,03036600,0303,030366,"HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)",medium,training_mode
hake merlucciu spp urophyci spp,03036600,0303,030366,"HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)",hard,training_mode
